problem,precision,strategy,log10s,p25_regret,median_regret,p75_regret,chol_frac,fitfail_frac,mean_median_offdiag,mean_frac_underflow,mean_ls_scaled,mean_ls_unscaled
Ackley4,float64,UCB,0.0,4.243005347095295,4.692776129497194,9.220743469985544,0.0,0.0,0.004349204804739787,0.1392212719966968,0.18102388158884536,0.19795221048401865
Ackley4,float64,UCB,1.0,4.350945874318061,7.059717765989792,18.2433859242198,0.0,0.0,0.03373506427478949,0.2873694216211637,0.9830188548385412,0.2216651219775202
Ackley4,float64,UCB,2.0,14.572696774204257,16.1280281335676,19.006951406616043,0.0,0.0,0.0003709928012775067,0.8472934537877639,2.222209334562764,0.3724606439130281
Ackley4,float64,UCB,3.0,16.723341096852295,18.419196810265408,18.966033586087523,0.0,0.0,0.0,0.996581208705902,0.40957332702260923,0.4095734000251596
Ackley4,float64,UCB,4.0,16.671454849039566,17.79783344338263,18.966033586087523,0.0,0.0,0.0,0.9971510171890259,0.4095733998903528,0.4095734051325141
Ackley4,float64,UCB,5.0,16.458350176561222,17.123280033362274,18.445043344439306,0.0,0.13333333333333333,0.0,0.9973409493764241,0.40959217182024593,0.4095731815470155
Ackley4,float64,Random,0.0,15.8509421291235,18.22357790104982,18.81392667143128,0.0,0.0,nan,nan,nan,nan
Ackley4,float64,Random,1.0,15.8509421291235,18.22357790104982,18.81392667143128,0.0,0.0,nan,nan,nan,nan
Ackley4,float64,Random,2.0,15.8509421291235,18.22357790104982,18.81392667143128,0.0,0.0,nan,nan,nan,nan
Ackley4,float64,Random,3.0,15.8509421291235,18.22357790104982,18.81392667143128,0.0,0.0,nan,nan,nan,nan
Ackley4,float64,Random,4.0,15.8509421291235,18.22357790104982,18.81392667143128,0.0,0.0,nan,nan,nan,nan
Ackley4,float64,Random,5.0,15.8509421291235,18.22357790104982,18.81392667143128,0.0,0.0,nan,nan,nan,nan
Ackley4,float32,UCB,0.0,4.801253256595725,6.405810689337212,8.004220923149521,0.0,0.0,0.014521957191997595,0.06438746470957994,0.16147533804178238,0.22468479126691818
Ackley4,float32,UCB,1.0,6.252035707968307,8.979568491948688,16.347573448399494,0.0,0.0,0.04091475634948741,0.17511870594074327,1.216123915836215,0.276208324978749
Ackley4,float32,UCB,2.0,15.916120837021264,17.224046396229806,18.39092752816808,0.0,0.0,7.263285321338724e-08,0.9107312500476837,1.8635343184073767,1.6415430625279746
Ackley4,float32,UCB,3.0,15.839321664650331,17.611454486195452,18.743991782546416,0.0,0.0,0.0,0.9931624134381613,5.38262167374293,5.149179832140605
Ackley4,float32,UCB,4.0,16.120204783156268,18.06185674843178,18.81392541950004,0.0,0.0,0.0,0.9967711488405864,11.81234568754832,1.0346665898958842
Ackley4,float32,UCB,5.0,16.43357329104466,18.433895983206078,18.709524955960656,0.0,0.0,0.0,0.9971510132153829,2.6703925458093485,9.665570187568665
Ackley4,float32,Random,0.0,15.8509421291235,18.22357790104982,18.81392541950004,0.0,0.0,nan,nan,nan,nan
Ackley4,float32,Random,1.0,15.8509421291235,18.22357790104982,18.81392541950004,0.0,0.0,nan,nan,nan,nan
Ackley4,float32,Random,2.0,15.850942435827193,18.22357790104982,18.81392541950004,0.0,0.0,nan,nan,nan,nan
Ackley4,float32,Random,3.0,15.8509421291235,18.22357790104982,18.81392541950004,0.0,0.0,nan,nan,nan,nan
Ackley4,float32,Random,4.0,15.8509421291235,18.22357907694689,18.81392541950004,0.0,0.0,nan,nan,nan,nan
Ackley4,float32,Random,5.0,15.8509421291235,18.22357790104982,18.813927226075805,0.0,0.0,nan,nan,nan,nan
