problem,precision,strategy,log10s,p25_regret,median_regret,p75_regret,chol_frac,fitfail_frac,mean_median_offdiag,mean_frac_underflow,mean_ls_scaled,mean_ls_unscaled
Hartmann6,float64,UCB,0.0,0.1719579922174952,0.2158986224278987,0.346300489124467,0.0,0.0,0.12684510594405252,0.0,0.5379888536560459,0.36067653688763657
Hartmann6,float64,UCB,0.5,0.1693103525707289,0.28131977384796336,0.48856258428916055,0.0,0.0,0.15588595538956349,0.0,1.5168444604293112,0.3836839222211898
Hartmann6,float64,UCB,1.0,0.12552294933700026,0.2154785084000519,0.46691809354928937,0.0,0.0,0.14444244176660884,0.047885302702585855,4.006655537766971,0.3631942666390893
Hartmann6,float64,UCB,1.5,0.44951386043599806,0.637195427066136,1.4914932592937988,0.0,0.0,0.005722082054512449,0.42150537129491567,4.36711935490847,0.504292709971171
Hartmann6,float64,UCB,2.0,1.3452428537505392,1.6724534242499598,2.0185515187101526,0.0,0.0,0.0,0.9959856669108073,0.5007369927892905,0.5016504739429909
Hartmann6,float64,UCB,3.0,1.6650291200458256,1.7984716105253704,2.158166591813496,0.0,0.0,0.0,0.9978494644165039,0.5016229155557637,0.5016229154885988
Hartmann6,float64,Random,0.0,1.3452428537505392,1.5977542029349803,1.8078961884511522,0.0,0.0,nan,nan,nan,nan
Hartmann6,float64,Random,0.5,1.3452428537505392,1.5977542029349803,1.807896188451152,0.0,0.0,nan,nan,nan,nan
Hartmann6,float64,Random,1.0,1.3452428537505392,1.5977542029349803,1.8078961884511522,0.0,0.0,nan,nan,nan,nan
Hartmann6,float64,Random,1.5,1.3452428537505392,1.5977542029349803,1.8078961884511522,0.0,0.0,nan,nan,nan,nan
Hartmann6,float64,Random,2.0,1.3452428537505392,1.5977542029349803,1.8078961884511522,0.0,0.0,nan,nan,nan,nan
Hartmann6,float64,Random,3.0,1.3452428537505392,1.5977542029349803,1.8078961884511522,0.0,0.0,nan,nan,nan,nan
Hartmann6,float32,UCB,0.0,0.20025467567392408,0.3091839823099152,0.5112164230463159,0.0,0.0,0.11894939964016278,0.0,0.6849119712909063,0.6128984222809474
Hartmann6,float32,UCB,0.5,0.18532574274641966,0.25556416845297747,0.35444010996997166,0.0,0.0,0.14720881022512913,0.011469534039497376,1.4686749815940856,0.43592125177383423
Hartmann6,float32,UCB,1.0,0.11262559227030922,0.19263815978786702,0.49127846542115083,0.0,0.0,0.11734166344006856,0.042580644289652504,4.403176720937093,0.37505198617776236
Hartmann6,float32,UCB,1.5,1.2714304559795209,1.5880828441871342,1.9014896459167152,0.0,0.0,0.001967612760882444,0.7321863790353139,2.1891188820203147,0.6568281372388204
Hartmann6,float32,UCB,2.0,1.3758986931428991,1.672453449389428,1.8078961452163522,0.0,0.0,0.0,0.9958422978719076,0.4761520256598791,0.4940118968486786
Hartmann6,float32,UCB,3.0,1.5977542029349803,1.7984716105596095,2.1581665630273896,0.0,0.0,0.0,0.9979928334554037,0.5032276531060537,0.5016229192415873
Hartmann6,float32,Random,0.0,1.3452428630845354,1.5977542029349803,1.8078961452163522,0.0,0.0,nan,nan,nan,nan
Hartmann6,float32,Random,0.5,1.3452428630845354,1.5977542003904868,1.8078961452163522,0.0,0.0,nan,nan,nan,nan
Hartmann6,float32,Random,1.0,1.3452428630845354,1.5977541343838617,1.8078961452163522,0.0,0.0,nan,nan,nan,nan
Hartmann6,float32,Random,1.5,1.3452428630845354,1.5977542133463185,1.8078961452163522,0.0,0.0,nan,nan,nan,nan
Hartmann6,float32,Random,2.0,1.3452428602629019,1.5977542029349803,1.8078961452163522,0.0,0.0,nan,nan,nan,nan
Hartmann6,float32,Random,3.0,1.3452428630845354,1.5977542029349803,1.8078961452163522,0.0,0.0,nan,nan,nan,nan
